feature,importance
diff_log_mv,0.14625496432114796
rank_ratio,0.14537350747003655
qual_gf_pg_A,0.06532323759210361
qual_gf_pg_B,0.06014637256519985
diff_squad_rating,0.05724567861983238
age_A,0.04900392881989074
diff_ga_pg,0.03980752765481235
age_B,0.0358257003919201
qual_ga_pg_A,0.03473876422645837
diff_gf_pg,0.03008318844755176
rank_B,0.02994007905694875
squad_rating_B,0.026694154720220103
top_sc_B,0.02614996200506986
rank_diff,0.02583770508736011
log_mv_B,0.0249909080561879
wc_form_B,0.024810394293310483
rank_A,0.02444519778678356
diff_wc_form,0.022054642858354494
qual_ga_pg_B,0.019789088297287323
wc_form_A,0.016902333288735426
top_sc_A,0.016714496341737727
att_combo_A,0.013831907861768153
diff_top_sc,0.01335393664023229
diff_att_combo,0.012258631299481203
att_combo_B,0.01137556970558693
injury_B,0.00994830275756545
log_mv_A,0.006469090171028757
squad_rating_A,0.0034580221618803865
conf_A,0.0034047522567207285
conf_B,0.002317865420366781
injury_A,0.0010099703593464302
is_top5_A,0.00027710777653077074
is_top5_B,0.00013850595664389084
is_top10_B,1.481261492522996e-05
is_top10_A,9.693116973469e-06
